,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,371.299,404.352,419.406,527.976,301.89,540.053,268.664,708.74,374.221,775.083,534.0,518.845,612.19,690.741,491.794,780.964,446.571,784.094,371.145,787.142,0.0,0.0,0.0,0.0,521.941,781.156,588.198,805.156,0.0,0.0,350.141,383.298,398.415,377.278,329.134,398.234,449.664,395.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,371.296,401.463,419.417,530.904,301.906,540.055,265.777,708.735,374.23,775.081,534.018,518.859,612.185,690.74,491.798,780.966,446.59,784.064,371.151,784.233,0.0,0.0,0.0,0.0,521.967,781.118,588.2,805.148,0.0,0.0,350.164,380.329,398.396,377.224,329.124,395.395,449.654,395.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,371.297,401.44,419.419,527.975,301.914,540.036,268.679,708.743,374.193,775.014,534.005,518.827,609.377,690.747,491.805,780.952,446.61,784.055,371.204,784.234,0.0,0.0,0.0,0.0,521.967,781.113,588.197,805.151,0.0,0.0,350.16,380.301,398.391,377.209,329.099,395.376,449.658,392.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,371.283,404.349,419.416,527.964,301.947,540.018,268.667,708.743,374.186,775.028,534.003,518.826,609.364,690.747,491.815,778.136,446.613,781.182,371.217,784.187,0.0,0.0,0.0,0.0,524.889,781.092,588.273,805.223,0.0,0.0,350.138,383.263,398.379,377.256,329.095,395.439,449.648,392.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,371.285,404.413,419.418,527.955,301.942,540.018,268.672,708.749,374.184,775.035,534.008,518.825,609.373,690.759,491.815,778.139,446.621,781.169,371.205,784.18,0.0,0.0,0.0,0.0,524.913,781.065,588.319,805.235,0.0,0.0,350.119,386.254,398.371,377.327,329.102,398.244,449.627,392.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,371.268,407.339,419.411,527.923,301.942,540.004,268.671,708.748,374.165,775.015,534.01,518.818,609.376,690.755,491.806,778.13,446.609,781.136,371.196,784.163,0.0,0.0,0.0,0.0,524.906,778.144,591.143,805.218,0.0,0.0,350.104,386.294,398.353,377.358,329.085,398.252,449.626,392.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,371.249,404.443,419.419,527.94,301.947,540.008,268.671,708.744,374.152,775.031,534.008,518.826,609.379,690.757,491.81,778.098,446.622,784.05,371.201,784.212,0.0,0.0,0.0,0.0,524.934,781.081,591.176,805.234,0.0,0.0,350.084,386.283,398.335,377.334,329.084,398.27,449.632,392.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,371.262,404.327,419.433,527.954,301.951,540.012,265.771,708.72,374.168,775.07,534.012,518.832,609.381,690.747,491.834,778.107,446.612,784.152,371.224,787.179,0.0,0.0,0.0,0.0,524.908,781.177,591.14,805.219,0.0,0.0,350.144,380.33,398.358,377.212,329.111,395.449,449.643,392.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,371.261,404.324,419.433,527.95,301.951,540.01,265.771,708.719,374.167,775.064,534.015,518.832,609.38,690.748,491.833,778.106,446.616,784.154,371.231,787.181,0.0,0.0,0.0,0.0,524.909,781.179,591.143,805.218,0.0,0.0,350.145,380.327,398.357,377.211,329.113,395.446,449.643,392.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,371.315,401.365,419.427,527.94,301.94,540.046,268.675,708.704,374.146,775.139,533.976,516.01,609.371,690.714,491.816,778.128,449.58,787.11,374.252,790.198,0.0,0.0,0.0,0.0,527.988,784.094,0.0,0.0,0.0,0.0,350.182,377.356,398.401,374.335,329.068,395.301,449.707,392.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
