,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,325.893,279.621,331.943,341.959,279.737,343.909,251.61,424.273,249.567,490.581,390.136,339.924,422.285,418.209,396.131,422.22,335.908,450.353,297.735,452.405,263.627,518.678,0.0,0.0,376.008,448.403,416.22,482.537,0.0,0.0,313.785,269.626,333.906,265.678,303.771,283.645,357.966,279.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,325.819,279.596,331.94,343.815,279.735,343.919,251.611,424.267,249.597,490.617,390.128,339.934,422.291,424.336,396.147,410.136,339.946,456.319,297.737,456.396,263.635,522.676,0.0,0.0,378.113,456.325,412.205,500.576,0.0,0.0,313.717,269.606,331.913,265.648,303.735,281.77,357.91,279.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,321.867,279.617,331.94,341.96,279.738,343.905,251.615,424.269,249.586,490.606,390.133,339.948,424.189,424.252,394.13,392.126,341.898,454.374,297.811,456.322,263.584,528.691,0.0,0.0,378.051,454.395,414.233,486.548,0.0,0.0,311.792,269.655,329.924,265.664,301.754,281.788,355.974,279.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,319.827,279.618,331.899,341.95,279.745,343.91,251.618,424.258,249.573,490.612,390.058,337.934,424.266,422.292,394.136,376.045,339.948,454.35,297.808,454.401,263.629,526.711,0.0,0.0,378.001,454.341,414.204,490.519,0.0,0.0,311.75,269.653,329.858,265.659,299.803,281.719,355.934,279.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,317.864,279.641,331.937,341.911,279.727,343.912,251.612,424.262,249.563,492.523,390.139,335.94,424.324,416.203,394.117,359.999,339.869,452.379,297.742,454.376,263.605,522.667,0.0,0.0,376.092,450.37,412.195,486.522,0.0,0.0,311.741,269.669,329.846,265.681,299.785,281.682,354.0,279.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,319.801,279.702,329.91,339.912,279.74,343.874,251.61,424.22,249.591,490.501,380.116,331.947,426.254,402.196,392.12,341.883,337.94,450.401,297.761,454.38,263.606,524.679,0.0,0.0,376.026,446.403,410.179,488.513,0.0,0.0,311.741,271.667,329.855,267.588,299.756,281.704,353.941,279.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,317.855,279.75,329.933,341.848,279.733,343.89,251.612,424.239,249.587,490.524,380.065,333.881,426.294,394.132,390.104,323.798,339.865,450.396,297.786,454.366,265.556,520.664,0.0,0.0,376.008,446.401,408.213,490.515,0.0,0.0,311.736,273.634,329.849,267.645,299.746,281.657,353.944,279.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,321.863,279.732,329.926,339.946,279.712,343.927,251.601,424.292,249.606,490.609,380.099,331.888,426.248,378.094,386.066,309.79,339.876,452.379,297.812,454.41,265.566,522.685,0.0,0.0,376.002,448.396,408.202,490.529,0.0,0.0,311.821,273.607,329.953,267.649,301.742,281.688,349.964,277.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,323.848,279.717,329.909,339.952,279.712,343.919,251.6,424.292,249.591,490.598,378.184,331.909,426.186,376.02,378.139,299.795,339.892,452.363,297.837,454.395,263.636,518.641,0.0,0.0,376.004,448.385,410.18,490.524,0.0,0.0,311.869,271.65,329.991,267.659,301.766,281.679,348.03,277.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,325.818,279.651,329.834,337.942,279.694,343.891,251.607,424.275,249.584,490.54,378.031,329.966,422.301,362.057,375.998,297.657,337.922,450.409,297.829,454.39,263.651,518.654,0.0,0.0,374.069,446.395,410.172,488.581,0.0,0.0,313.761,269.649,331.915,267.643,301.772,281.702,347.961,279.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
