,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,359.968,267.672,359.886,356.001,295.742,350.005,265.698,442.379,319.811,494.577,420.225,359.94,442.368,456.343,380.14,498.587,345.95,504.58,299.785,504.571,229.463,568.898,0.0,0.0,392.169,504.652,422.249,558.835,0.0,0.0,345.862,261.626,373.985,259.602,329.795,277.617,392.121,269.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,359.969,267.631,359.901,355.996,295.759,349.995,265.69,442.401,319.817,494.615,420.234,359.939,442.37,456.352,380.127,498.563,345.948,504.628,299.784,504.612,229.448,570.911,0.0,0.0,392.164,506.578,422.277,560.839,0.0,0.0,345.855,261.588,373.992,259.567,329.796,277.619,392.134,269.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,359.947,267.604,359.895,355.967,295.753,349.958,265.67,442.388,319.841,496.577,420.234,359.939,442.365,456.341,380.139,498.566,345.939,504.606,299.776,504.583,229.469,568.926,0.0,0.0,392.15,506.566,422.242,558.839,0.0,0.0,344.027,261.557,373.991,259.533,329.804,277.623,392.137,269.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,359.927,267.574,359.902,355.978,295.753,349.958,265.655,442.39,319.858,498.54,420.226,359.942,442.369,456.334,380.144,498.569,345.94,504.628,299.773,504.597,0.0,0.0,0.0,0.0,392.155,506.58,420.261,554.76,0.0,0.0,344.003,261.524,372.079,257.563,329.784,277.604,392.124,269.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,359.888,265.692,359.902,355.951,295.768,349.939,265.64,442.384,319.863,498.577,420.223,359.927,442.368,456.338,380.154,498.558,345.949,504.617,299.791,504.578,0.0,0.0,0.0,0.0,392.17,506.585,420.233,554.751,0.0,0.0,343.973,261.51,372.043,257.545,327.956,277.608,392.091,269.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,358.024,265.669,358.031,355.971,295.747,349.99,265.631,442.444,319.86,498.568,418.271,359.922,442.363,456.34,382.09,496.586,345.956,504.599,299.809,504.565,0.0,0.0,0.0,0.0,392.164,506.567,420.237,554.761,0.0,0.0,343.951,259.598,372.031,255.6,327.925,277.595,392.051,269.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,358.024,265.668,358.029,355.968,295.745,349.991,265.63,444.312,319.869,498.566,418.267,359.916,442.364,456.345,382.078,496.583,345.961,504.605,299.812,504.573,0.0,0.0,0.0,0.0,392.166,506.567,420.245,554.783,0.0,0.0,343.95,259.598,372.031,255.599,327.923,277.598,392.051,269.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,356.005,265.583,357.988,354.003,295.705,349.935,265.611,442.413,319.816,498.547,418.24,358.026,442.358,456.315,382.087,496.566,345.892,504.571,299.773,504.535,0.0,0.0,0.0,0.0,392.082,504.66,416.249,550.798,0.0,0.0,343.856,259.539,366.058,253.533,327.888,275.685,390.109,267.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,355.934,265.565,357.98,353.966,295.717,348.018,265.622,442.439,319.817,496.592,418.204,357.981,442.365,456.304,382.094,496.581,345.902,504.56,299.801,502.627,0.0,0.0,0.0,0.0,392.089,504.659,416.268,550.774,0.0,0.0,343.823,259.527,365.995,253.525,327.885,277.592,390.06,269.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,355.94,265.558,357.973,353.957,295.71,348.025,265.631,442.444,319.817,496.592,416.259,357.953,442.353,454.425,382.107,496.573,345.879,504.549,299.776,502.609,0.0,0.0,0.0,0.0,392.064,504.655,416.24,550.759,0.0,0.0,343.825,257.588,364.098,251.621,327.865,275.663,388.145,267.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,355.939,265.557,357.972,353.959,295.712,348.027,265.64,442.435,319.815,496.597,416.257,357.951,442.36,454.425,382.112,496.577,345.872,504.543,299.766,502.599,0.0,0.0,0.0,0.0,392.059,504.652,416.245,550.762,0.0,0.0,343.825,257.588,364.097,251.621,327.866,275.663,388.144,267.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,355.965,265.526,357.964,353.957,295.702,349.947,265.663,442.442,319.86,498.541,416.228,356.015,442.413,454.385,384.076,494.591,344.017,504.524,299.749,502.578,0.0,0.0,0.0,0.0,392.056,504.641,418.219,550.735,0.0,0.0,343.824,257.572,364.093,251.593,327.825,277.584,388.085,267.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,355.95,265.522,357.976,353.967,295.714,349.955,265.651,442.435,319.837,496.606,416.25,357.924,442.409,454.37,382.119,494.607,344.019,502.615,299.749,502.551,0.0,0.0,0.0,0.0,392.055,504.627,418.216,550.768,0.0,0.0,343.817,257.567,364.081,251.59,327.817,277.581,388.087,269.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,355.932,263.687,357.991,353.952,295.743,348.014,265.641,442.442,319.849,498.542,416.255,357.958,442.416,454.391,382.085,494.585,345.87,502.582,299.769,500.598,0.0,0.0,0.0,0.0,392.086,504.607,418.256,548.798,0.0,0.0,343.808,257.556,364.072,251.588,327.81,277.584,386.14,269.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,355.931,263.689,357.993,353.948,295.749,348.013,265.64,442.445,319.846,498.541,416.254,357.952,442.415,454.392,382.073,494.585,345.879,502.585,299.775,500.6,0.0,0.0,0.0,0.0,392.104,504.609,418.259,548.784,0.0,0.0,341.967,257.556,364.071,251.588,327.808,277.578,386.138,269.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,354.009,263.668,358.017,353.955,295.731,347.981,265.597,442.445,317.876,496.584,418.232,357.996,442.378,454.403,382.084,494.596,345.874,502.598,299.752,500.607,0.0,0.0,0.0,0.0,392.108,504.626,416.254,544.786,0.0,0.0,341.959,257.539,364.059,251.573,327.804,275.682,386.074,269.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,355.931,263.663,358.007,353.955,295.723,348.018,265.599,442.449,317.844,496.566,418.216,357.941,442.377,454.389,382.065,494.594,345.881,502.62,299.766,502.542,0.0,0.0,0.0,0.0,392.109,504.641,414.257,544.758,0.0,0.0,341.964,257.535,364.062,251.575,327.787,277.58,384.141,269.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,355.931,263.662,358.0,353.957,295.725,348.022,265.596,444.319,317.854,496.568,416.268,357.934,442.387,454.388,382.063,494.604,345.892,502.617,299.774,502.549,0.0,0.0,0.0,0.0,392.122,504.634,416.242,544.774,0.0,0.0,341.964,257.534,364.062,251.573,327.789,277.58,384.139,269.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,355.933,263.666,357.969,352.0,295.718,348.025,265.59,444.329,317.858,496.551,416.201,355.971,442.376,454.381,380.153,496.536,345.909,502.601,299.789,502.544,0.0,0.0,0.0,0.0,392.142,504.615,416.254,544.767,0.0,0.0,341.965,257.539,364.064,251.58,327.793,277.581,384.139,269.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,355.931,263.666,357.972,353.936,295.714,349.928,265.58,444.324,317.824,494.605,414.276,355.983,442.394,454.39,382.068,494.604,345.923,502.592,299.796,502.543,0.0,0.0,0.0,0.0,392.156,504.607,416.258,544.755,0.0,0.0,341.965,257.541,364.065,251.581,327.793,277.588,384.134,269.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,355.932,263.666,357.989,353.941,295.717,349.934,265.594,442.418,315.894,494.577,416.257,355.984,442.396,454.406,380.131,496.535,345.942,502.56,299.808,500.589,0.0,0.0,0.0,0.0,392.185,504.579,418.222,544.751,0.0,0.0,343.815,257.55,364.064,251.592,327.799,277.605,386.088,269.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,355.94,263.674,357.993,351.978,295.74,347.999,265.578,442.424,317.808,494.61,416.243,355.966,442.406,454.388,380.12,496.535,345.959,502.615,301.74,502.561,0.0,0.0,0.0,0.0,392.19,504.623,418.264,546.762,0.0,0.0,343.816,257.55,364.072,251.586,327.805,277.602,386.1,269.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
