,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,621.076,165.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.183,339.918,0.0,0.0,0.0,0.0,0.0,0.0,588.954,341.924,570.868,520.677,552.813,649.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,327.786,227.478,360.002,325.78,287.686,325.838,247.578,424.209,279.598,480.473,428.341,323.812,468.443,424.266,442.386,488.512,362.068,502.598,313.822,502.566,0.0,0.0,0.0,0.0,412.234,504.577,0.0,0.0,0.0,0.0,313.786,217.523,339.877,213.376,311.71,231.548,374.078,217.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,327.789,227.473,360.006,325.779,287.69,325.832,247.578,424.199,277.688,478.534,428.342,323.815,468.455,424.267,442.394,488.491,362.08,502.589,313.829,502.562,0.0,0.0,0.0,0.0,412.242,504.566,0.0,0.0,0.0,0.0,313.788,217.52,339.882,213.371,311.724,233.381,374.074,219.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,327.791,227.473,360.008,325.776,287.687,325.831,247.576,424.207,277.672,478.528,428.344,323.815,468.45,424.277,442.392,488.51,362.079,502.607,313.822,502.579,0.0,0.0,0.0,0.0,412.249,504.579,0.0,0.0,0.0,0.0,313.79,217.519,339.885,213.372,311.726,233.382,374.073,217.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
