,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,315.86,297.753,327.839,408.202,231.509,406.148,171.2,524.753,0.0,0.0,424.264,410.175,464.451,538.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.772,283.741,337.868,279.744,279.633,311.837,362.103,297.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,315.858,297.757,327.948,408.199,233.42,406.15,171.197,524.723,0.0,0.0,426.21,410.147,464.438,538.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.768,283.751,335.919,279.741,279.65,311.827,363.98,295.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,315.826,297.744,329.799,408.24,233.409,406.203,171.178,524.738,0.0,0.0,426.241,410.178,466.448,540.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.746,285.674,335.864,279.742,279.632,311.838,362.1,297.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,315.794,297.73,329.851,408.221,233.459,406.168,171.183,524.72,0.0,0.0,426.289,410.175,466.431,538.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.717,285.705,333.872,279.729,279.62,313.765,362.029,295.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,315.791,297.771,329.859,408.219,233.467,406.183,171.191,524.711,0.0,0.0,426.295,410.183,464.472,536.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.701,285.723,331.958,279.73,279.591,313.75,361.998,295.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,315.795,297.81,329.834,408.183,233.491,406.203,171.221,524.678,0.0,0.0,426.254,408.264,466.467,538.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.689,285.717,331.907,279.725,279.57,313.787,361.927,295.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,315.807,297.814,329.837,408.178,233.494,406.202,171.222,524.681,0.0,0.0,426.263,408.266,466.418,536.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.689,285.721,331.924,279.724,279.563,313.795,361.934,295.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,315.857,297.833,329.837,408.167,233.501,406.182,171.21,524.666,0.0,0.0,426.26,408.259,464.463,538.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.702,285.72,333.874,279.714,279.575,313.803,361.945,295.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,317.814,297.814,329.837,408.184,233.483,406.215,171.226,524.67,0.0,0.0,426.258,408.262,462.471,538.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.727,285.686,333.927,279.686,279.574,313.742,361.952,295.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,317.818,297.797,329.841,408.185,233.48,406.209,171.212,524.682,0.0,0.0,426.261,408.267,462.473,538.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.734,285.682,333.936,279.681,279.572,313.739,361.959,295.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,317.838,297.744,329.833,408.19,233.442,408.1,171.191,524.704,0.0,0.0,426.273,408.258,462.463,536.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.738,283.764,333.926,279.636,279.572,313.761,361.962,293.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,317.833,297.724,329.829,408.19,233.446,408.101,171.194,524.706,0.0,0.0,426.272,408.255,464.417,536.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.724,283.75,333.922,279.633,279.565,313.772,361.936,293.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,317.797,297.726,329.824,408.186,233.451,406.23,171.206,524.696,0.0,0.0,426.26,408.25,464.432,536.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.707,283.756,333.878,279.644,277.693,313.752,361.922,293.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,315.857,297.732,329.821,408.189,233.442,408.125,171.207,524.692,0.0,0.0,426.26,408.25,464.413,536.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.688,283.764,331.914,279.628,277.577,311.805,360.013,291.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,315.861,297.724,329.812,408.177,233.439,408.112,171.234,524.69,0.0,0.0,426.253,408.229,462.474,536.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.668,285.655,331.907,279.623,277.577,311.836,359.995,291.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,315.861,297.724,329.813,408.187,233.437,408.122,171.234,524.7,0.0,0.0,426.262,408.237,462.473,536.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.667,285.654,331.909,279.623,277.577,311.835,359.997,291.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,315.821,297.734,329.85,408.185,233.489,408.123,171.222,524.701,0.0,0.0,426.297,408.253,462.454,536.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.635,285.707,331.87,279.633,275.669,311.846,359.962,291.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,315.797,297.751,329.829,408.21,233.484,408.14,171.213,524.721,0.0,0.0,426.301,410.139,462.462,536.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.652,285.701,331.853,279.665,275.643,311.779,359.96,293.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,315.792,297.753,329.844,408.227,233.478,408.164,171.198,524.735,0.0,0.0,426.317,410.146,462.462,536.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.646,285.697,331.847,279.68,275.635,311.79,359.952,293.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,315.791,297.764,329.844,408.226,233.474,408.168,171.198,524.727,0.0,0.0,426.301,410.142,462.475,538.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.641,285.746,331.844,279.682,275.633,311.82,359.953,293.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,315.802,297.759,329.853,408.211,233.491,408.142,171.201,524.707,0.0,0.0,426.294,408.276,464.418,538.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.641,285.728,329.979,279.65,275.653,311.843,359.94,291.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
