,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,567.076,302.038,560.999,452.617,464.639,452.566,446.549,636.328,515.907,726.847,651.52,455.621,651.507,627.413,573.195,735.913,552.01,708.889,485.777,708.851,494.744,799.172,0.0,0.0,618.33,708.797,612.328,790.215,0.0,0.0,539.96,298.824,585.18,298.792,503.802,347.092,597.237,344.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,567.065,302.022,561.029,452.647,464.655,452.56,446.551,636.321,515.903,726.851,651.518,458.582,651.491,627.423,573.176,735.916,549.102,708.87,485.77,708.821,494.72,799.137,0.0,0.0,618.308,708.775,612.32,790.215,0.0,0.0,539.952,298.83,585.185,298.81,500.858,347.111,597.26,343.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,567.062,302.02,561.021,452.635,464.67,452.557,446.556,636.317,515.897,726.837,651.504,455.667,651.492,627.389,573.193,735.909,549.117,708.877,485.781,708.83,494.71,799.143,0.0,0.0,618.315,708.781,612.315,790.208,0.0,0.0,539.949,298.83,585.182,298.81,500.864,347.11,597.263,344.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,564.224,313.952,561.009,452.575,464.672,449.612,446.578,633.459,515.909,726.855,648.551,455.625,648.551,627.408,573.196,735.922,552.045,708.85,488.68,708.81,494.721,796.216,0.0,0.0,618.331,708.761,612.324,790.203,0.0,0.0,539.955,301.769,585.133,298.989,497.931,347.108,600.239,326.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,564.196,319.901,561.018,452.628,467.517,449.669,446.62,633.49,515.963,726.866,648.546,455.657,648.498,627.432,573.196,735.927,552.044,708.85,488.666,708.821,494.804,799.24,0.0,0.0,618.33,708.754,612.357,790.182,0.0,0.0,539.931,301.884,585.134,301.832,497.895,347.206,600.305,326.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,564.159,319.867,560.995,455.583,464.675,452.64,446.617,636.292,515.971,726.871,648.545,455.659,648.497,627.427,573.188,735.932,552.078,708.871,488.698,708.852,494.803,799.221,0.0,0.0,618.351,708.763,612.342,790.176,0.0,0.0,539.882,301.845,585.106,301.812,497.855,347.181,600.259,326.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,564.002,313.974,558.115,455.665,464.607,455.61,446.654,636.389,515.977,726.887,648.558,458.596,648.497,627.444,573.192,735.934,552.051,708.869,488.679,708.848,494.813,799.246,0.0,0.0,618.334,708.759,612.35,793.127,0.0,0.0,536.952,301.807,579.217,299.009,497.778,347.23,597.233,329.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,564.003,313.971,558.122,455.659,464.612,455.595,446.648,636.372,515.968,726.881,648.557,458.592,648.502,627.44,573.205,735.926,552.05,708.872,488.676,708.851,494.817,799.249,0.0,0.0,618.335,708.76,612.338,793.13,0.0,0.0,536.956,301.807,579.224,299.013,497.777,347.229,597.234,329.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,558.004,301.84,558.034,458.63,461.628,461.57,446.69,639.359,515.95,729.795,651.467,455.646,648.547,630.411,573.197,735.903,552.068,708.848,488.675,708.843,494.782,799.227,0.0,0.0,618.342,708.736,612.376,793.128,0.0,0.0,527.981,298.802,570.241,298.726,494.826,350.099,591.35,344.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,558.005,301.84,558.038,458.648,461.633,461.595,446.693,639.363,515.942,729.791,648.555,455.655,648.548,630.404,573.203,735.908,552.098,708.859,488.709,708.858,494.775,802.102,0.0,0.0,618.351,708.742,612.375,790.227,0.0,0.0,527.984,298.801,570.241,298.725,494.828,350.096,591.349,344.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
