,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,383.314,386.236,416.428,521.965,298.942,524.913,262.719,705.772,383.301,799.192,530.957,521.888,570.17,705.763,467.64,790.219,431.542,784.161,356.108,784.215,0.0,0.0,0.0,0.0,515.793,781.181,588.284,808.159,0.0,0.0,368.214,371.102,419.271,368.191,347.18,395.211,464.664,395.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,383.337,389.233,416.418,521.897,298.911,522.034,262.741,705.796,383.291,799.195,530.928,519.04,570.155,705.815,467.588,793.122,431.522,784.103,353.213,784.17,0.0,0.0,0.0,0.0,512.9,781.132,588.247,808.23,0.0,0.0,371.04,371.163,419.288,368.226,347.238,395.171,464.685,398.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,383.323,386.288,416.42,521.888,298.917,522.021,262.735,705.794,383.288,799.245,530.929,519.037,570.133,705.813,467.586,793.168,434.456,784.166,356.152,784.241,0.0,0.0,0.0,0.0,515.802,781.174,588.286,808.257,0.0,0.0,371.045,371.12,419.273,368.223,350.002,392.353,464.676,398.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,386.233,386.287,416.418,521.888,298.948,522.001,262.766,705.741,386.257,802.168,530.915,519.051,567.275,708.666,467.562,796.175,434.457,784.231,356.154,787.161,0.0,0.0,0.0,0.0,515.801,784.051,588.261,808.287,0.0,0.0,371.07,371.135,419.31,368.223,350.005,392.365,464.658,398.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,386.304,383.257,416.433,521.868,298.949,521.98,265.718,705.737,389.31,805.102,527.993,519.041,567.218,708.633,467.612,796.232,434.475,787.149,356.154,787.201,0.0,0.0,0.0,0.0,515.871,784.117,591.214,811.277,0.0,0.0,371.123,368.242,419.393,368.103,350.029,392.326,464.695,398.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,386.303,383.221,416.432,521.878,298.966,521.965,265.737,705.679,389.227,802.193,527.967,519.059,567.214,705.772,467.63,796.236,428.506,787.133,353.132,787.186,0.0,0.0,0.0,0.0,512.909,784.105,591.271,814.247,0.0,0.0,371.138,368.181,419.416,368.083,350.055,392.256,467.494,398.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,389.262,380.327,416.423,521.893,298.971,521.999,268.68,705.71,389.303,802.178,527.922,519.038,567.214,705.82,467.625,796.149,431.497,787.237,356.113,790.171,0.0,0.0,0.0,0.0,512.917,784.205,0.0,0.0,0.0,0.0,371.211,368.187,419.436,368.136,350.086,392.205,467.519,398.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,392.351,383.255,419.277,521.922,301.842,521.99,268.758,702.714,389.307,802.254,527.926,521.867,567.285,702.699,467.69,796.134,437.556,790.16,362.188,790.183,0.0,0.0,0.0,0.0,515.878,784.214,0.0,0.0,0.0,0.0,374.146,368.18,419.563,368.215,350.314,389.307,467.569,398.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,395.275,383.247,419.283,521.897,301.879,521.951,271.646,702.724,395.231,805.057,527.898,519.058,567.23,702.691,467.718,796.196,437.535,790.163,359.177,796.196,0.0,0.0,0.0,0.0,515.883,784.22,594.277,814.3,0.0,0.0,374.256,368.191,422.373,368.253,353.166,389.298,467.598,398.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,395.424,380.34,419.284,521.931,301.936,521.982,271.738,696.779,389.32,802.158,524.896,519.051,567.079,702.728,470.573,793.207,434.531,793.217,356.195,796.142,0.0,0.0,0.0,0.0,512.887,790.119,591.318,811.279,0.0,0.0,374.391,368.155,422.523,368.238,356.162,389.268,467.651,398.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
