,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,344.141,371.038,401.322,518.804,286.793,522.009,274.701,711.848,395.336,808.294,515.97,512.813,567.072,693.666,470.673,808.132,440.508,790.188,365.217,790.16,0.0,0.0,0.0,0.0,518.922,787.159,0.0,0.0,0.0,0.0,325.906,350.279,371.208,347.024,304.953,380.285,425.498,374.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,530.903,422.485,546.023,543.161,467.498,543.176,428.51,690.664,509.9,763.14,636.405,543.165,654.541,699.678,567.237,775.085,542.968,775.14,476.754,775.035,464.637,814.296,0.0,0.0,609.365,778.098,0.0,0.0,0.0,0.0,509.87,419.4,542.894,404.39,491.722,449.554,567.143,422.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,525.006,422.413,546.019,543.165,464.691,545.98,428.516,690.675,509.888,763.132,636.421,543.163,654.56,699.736,567.224,775.064,542.959,775.137,476.733,775.023,464.597,814.326,0.0,0.0,609.37,778.109,0.0,0.0,0.0,0.0,509.798,419.337,540.116,401.484,491.69,446.685,567.148,422.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,525.007,422.412,546.018,543.163,464.691,545.979,428.517,690.674,509.889,763.129,636.413,543.159,654.567,699.734,567.233,775.067,542.965,775.133,476.74,775.019,464.605,814.315,0.0,0.0,612.215,778.101,0.0,0.0,0.0,0.0,509.799,419.337,540.116,401.484,491.688,446.68,567.147,422.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
