,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,540.132,422.34,543.079,555.081,464.697,552.063,437.471,690.696,482.762,757.007,630.418,558.114,648.463,702.798,570.15,766.01,539.977,775.027,473.756,769.102,0.0,0.0,0.0,0.0,594.326,775.11,633.445,817.306,0.0,0.0,518.937,419.385,558.054,416.318,494.84,452.625,573.22,443.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,540.125,422.441,543.053,555.102,464.671,552.081,437.464,690.701,482.741,757.012,630.393,560.974,648.453,702.782,570.145,766.025,539.978,772.094,473.768,769.072,452.549,808.266,0.0,0.0,594.312,775.065,627.402,817.305,0.0,0.0,518.919,419.427,558.064,416.406,494.804,452.605,576.121,443.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,542.876,422.512,543.051,555.105,464.675,552.074,437.466,690.7,482.735,757.017,630.391,558.131,648.453,702.784,570.121,766.006,539.972,772.093,473.776,769.077,0.0,0.0,0.0,0.0,594.284,775.072,630.447,817.255,0.0,0.0,518.926,419.458,558.079,416.463,494.812,452.579,576.168,443.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,542.936,422.535,543.049,555.108,464.653,552.099,437.468,690.694,482.742,757.021,630.392,558.134,645.563,702.781,570.136,765.994,539.981,772.05,473.779,769.039,452.583,808.239,0.0,0.0,594.303,775.04,630.399,817.264,0.0,0.0,518.964,419.457,561.009,419.279,494.822,452.554,579.137,443.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,543.071,425.476,543.064,558.008,464.662,552.115,437.468,690.712,482.748,757.018,630.407,558.129,645.565,702.794,570.171,766.035,540.052,772.029,476.74,769.029,0.0,0.0,0.0,0.0,597.259,772.084,621.381,817.297,0.0,0.0,521.914,419.512,561.109,419.369,494.886,449.633,579.219,443.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,543.073,425.476,543.067,558.009,464.664,552.116,437.472,690.704,482.745,757.018,630.415,558.135,645.568,702.798,570.168,766.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.917,419.511,561.112,419.369,494.887,449.627,579.226,443.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,543.125,425.548,543.081,558.059,464.659,555.086,437.463,690.678,482.77,757.014,630.427,560.997,648.491,702.699,570.218,766.089,540.061,769.015,476.726,766.039,449.632,805.31,0.0,0.0,597.317,769.067,621.37,817.285,0.0,0.0,521.927,419.544,563.964,419.426,494.915,452.563,582.207,443.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,545.981,428.454,543.082,558.04,464.651,555.059,434.56,690.686,482.778,757.008,630.44,560.991,648.508,702.71,570.234,766.093,540.076,766.115,476.716,766.034,449.535,805.253,0.0,0.0,597.335,769.092,648.471,811.252,0.0,0.0,522.0,419.558,564.036,419.469,494.939,449.634,585.099,443.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,546.015,428.437,543.092,558.044,464.662,555.07,437.449,690.695,485.688,757.034,630.444,560.999,648.521,702.713,573.193,766.056,540.083,766.069,476.718,763.122,446.668,805.274,0.0,0.0,600.282,769.018,645.461,811.281,0.0,0.0,522.026,419.55,564.062,419.459,497.748,449.64,585.138,443.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,546.043,428.437,543.108,558.003,464.685,555.029,434.558,690.678,485.692,757.036,630.468,558.12,648.533,702.742,576.124,766.033,540.092,769.069,476.722,766.073,449.564,805.279,0.0,0.0,600.255,772.023,657.471,808.223,0.0,0.0,524.881,419.565,564.082,419.469,497.762,449.679,585.159,443.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,546.033,428.444,543.109,555.119,464.685,555.023,434.559,690.679,485.691,757.037,633.319,558.119,648.523,702.764,576.126,766.032,540.094,769.059,476.723,766.065,449.572,805.269,0.0,0.0,600.258,769.108,657.483,808.202,0.0,0.0,522.044,419.56,564.081,419.468,497.764,449.666,585.172,443.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,546.038,425.53,543.127,555.079,467.505,552.095,434.548,690.687,485.698,757.126,633.324,558.085,648.524,702.724,576.191,766.078,540.104,769.073,476.719,766.072,449.603,808.29,0.0,0.0,600.272,769.109,654.522,805.27,0.0,0.0,522.044,419.552,564.092,419.425,497.835,449.628,585.208,443.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,546.018,425.471,543.123,555.078,467.513,552.089,434.542,687.849,482.753,757.066,633.321,558.1,648.516,702.725,576.194,766.016,540.081,769.1,476.722,766.092,449.608,808.239,0.0,0.0,597.294,772.056,654.494,808.204,0.0,0.0,524.908,419.525,564.045,419.382,497.883,449.555,585.182,443.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,545.991,425.408,543.13,555.105,467.51,555.012,434.527,690.639,482.763,757.069,633.324,558.102,648.511,702.746,576.138,766.012,540.079,772.055,476.735,769.035,0.0,0.0,0.0,0.0,597.257,772.108,654.557,805.267,0.0,0.0,524.903,419.488,564.009,419.337,497.863,446.711,585.124,443.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,543.19,422.61,543.132,555.082,467.519,552.09,434.54,687.853,482.76,757.078,633.324,558.11,648.511,702.74,576.201,763.153,540.066,769.07,476.698,766.069,449.643,808.274,0.0,0.0,597.251,772.028,654.53,805.274,0.0,0.0,522.045,419.47,563.983,419.316,497.855,446.696,585.105,443.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,543.187,422.618,543.12,555.08,467.505,552.099,434.542,687.855,482.773,757.082,633.322,558.103,648.504,702.751,576.2,763.124,540.061,769.035,476.692,766.029,449.644,808.269,0.0,0.0,597.268,769.099,654.558,805.225,0.0,0.0,522.021,419.467,563.986,419.324,497.832,446.7,585.089,443.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,543.185,422.619,543.122,555.086,467.505,552.105,434.539,687.852,482.759,757.081,633.323,558.106,648.505,702.751,576.192,763.124,540.059,769.064,476.692,766.054,449.646,808.274,0.0,0.0,597.259,772.036,657.473,805.208,0.0,0.0,522.019,419.467,563.984,419.323,497.833,446.697,585.089,443.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,543.12,422.601,543.088,555.016,464.68,552.029,434.494,687.837,485.678,757.056,630.456,558.079,648.483,699.771,576.124,763.015,540.023,763.022,473.789,760.146,449.602,805.277,0.0,0.0,597.278,763.081,648.483,808.241,0.0,0.0,521.932,419.456,561.134,419.289,497.783,449.622,582.197,443.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,543.119,422.601,543.09,555.019,464.685,552.032,434.485,687.825,485.67,757.055,630.457,558.078,648.485,699.777,576.121,763.013,540.023,763.031,473.789,760.153,449.619,805.277,0.0,0.0,597.275,763.086,645.504,808.28,0.0,0.0,521.931,419.457,561.133,419.288,497.787,449.625,582.196,443.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,543.105,422.588,543.061,552.099,464.632,552.014,434.492,687.816,482.746,757.004,630.438,558.024,648.489,699.737,573.195,762.992,540.035,766.057,476.676,763.133,0.0,0.0,0.0,0.0,597.255,766.099,657.519,805.257,0.0,0.0,521.915,419.465,561.118,419.29,494.957,449.641,582.165,443.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,543.103,422.591,543.065,552.109,464.629,552.024,434.498,687.818,482.708,756.982,630.443,558.028,648.494,699.729,573.143,763.01,540.039,766.108,476.698,766.057,0.0,0.0,0.0,0.0,597.223,769.045,657.519,805.227,0.0,0.0,521.914,419.468,561.107,419.296,494.949,449.65,582.149,443.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,543.135,422.608,543.062,552.09,464.645,549.125,434.497,687.809,482.699,757.015,630.433,558.019,648.488,699.73,570.211,763.066,540.006,763.135,473.77,763.08,0.0,0.0,0.0,0.0,594.36,766.041,654.56,805.235,0.0,0.0,521.957,419.47,561.122,419.3,494.939,449.593,582.145,443.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,543.128,422.621,543.058,552.089,464.633,552.006,434.513,687.805,482.703,757.031,630.435,558.018,648.486,699.733,570.185,763.074,540.013,763.084,473.773,763.039,449.531,808.177,0.0,0.0,594.367,763.12,654.51,805.25,0.0,0.0,521.959,419.478,561.126,419.304,494.941,449.579,582.133,443.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,543.151,422.637,543.061,552.087,464.641,552.008,434.514,687.808,482.725,757.078,630.423,558.015,648.487,699.746,570.194,763.066,540.021,763.026,473.786,760.16,446.661,808.253,0.0,0.0,597.258,763.056,648.511,808.276,0.0,0.0,521.974,419.487,561.156,419.324,494.936,449.559,582.164,443.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,543.173,425.464,543.052,555.012,464.621,552.03,434.505,687.82,482.716,757.11,630.436,558.053,648.506,699.758,570.178,763.085,539.928,763.133,473.706,763.058,446.666,808.336,0.0,0.0,594.317,766.059,639.443,814.253,0.0,0.0,521.968,419.523,563.972,419.379,494.933,449.638,582.214,443.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
