,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,299.815,329.927,313.824,448.397,199.346,446.383,0.0,0.0,0.0,0.0,436.284,446.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.649,309.797,329.844,305.741,249.555,325.895,364.011,319.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,299.767,329.882,313.792,450.38,199.306,448.356,0.0,0.0,0.0,0.0,436.285,446.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.653,309.727,329.795,303.747,249.574,325.861,364.011,319.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,299.757,329.88,313.829,448.4,199.338,446.371,0.0,0.0,0.0,0.0,436.292,446.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.642,309.717,329.801,303.777,249.557,325.84,364.049,319.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,299.756,329.88,313.824,448.402,199.342,446.361,0.0,0.0,0.0,0.0,436.294,446.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.644,309.712,329.803,303.781,249.561,325.834,364.047,319.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,299.754,329.938,313.813,448.397,199.338,446.342,0.0,0.0,0.0,0.0,434.331,446.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.648,309.757,329.814,305.768,249.577,325.801,364.06,317.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,299.783,329.967,313.817,450.356,199.339,446.35,0.0,0.0,0.0,0.0,436.286,448.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.662,309.809,329.816,305.781,249.589,325.833,364.054,317.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,299.778,329.953,313.834,448.401,199.36,444.413,0.0,0.0,0.0,0.0,436.3,448.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.646,309.824,329.799,305.803,249.551,325.846,364.046,317.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,299.807,329.954,313.827,448.402,199.364,444.412,0.0,0.0,0.0,0.0,436.296,450.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.652,309.823,329.805,305.779,249.546,325.877,364.05,317.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,299.8,329.948,313.845,450.343,199.368,444.403,0.0,0.0,0.0,0.0,436.281,450.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.608,309.805,329.796,305.797,249.554,327.81,364.044,317.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,299.783,329.953,313.856,450.347,201.284,444.403,0.0,0.0,0.0,0.0,436.278,450.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.598,309.793,329.795,305.792,249.549,327.83,364.045,317.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
