,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,331.954,348.026,337.925,474.434,223.448,474.559,191.285,657.223,0.0,0.0,450.37,472.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.751,325.854,361.959,325.857,277.686,343.958,392.119,341.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,331.954,348.026,337.925,474.434,223.448,474.559,191.285,657.223,0.0,0.0,450.37,472.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.751,325.854,361.959,325.857,277.686,343.958,392.119,341.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,331.954,348.026,337.925,474.434,223.448,474.559,191.285,657.223,0.0,0.0,450.37,472.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.751,325.854,361.959,325.857,277.686,343.958,392.119,341.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,331.954,348.026,337.925,474.434,223.448,474.559,191.285,657.223,0.0,0.0,450.37,472.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.751,325.854,361.959,325.857,277.686,343.958,392.119,341.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,331.954,348.026,337.925,474.434,223.448,474.559,191.285,657.223,0.0,0.0,450.37,472.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.751,325.854,361.959,325.857,277.686,343.958,392.119,341.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,295.764,329.916,309.767,442.378,197.311,442.413,0.0,0.0,0.0,0.0,424.292,440.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.63,311.706,319.857,303.733,239.477,325.797,359.886,313.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,295.776,329.896,309.765,442.39,197.285,444.334,0.0,0.0,0.0,0.0,424.305,440.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.615,311.712,319.82,303.775,239.484,323.851,358.031,313.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,295.779,329.915,309.752,442.393,197.297,442.423,0.0,0.0,0.0,0.0,424.279,442.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.609,311.708,319.829,303.794,239.505,323.877,358.027,313.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,295.769,329.909,309.745,442.384,197.311,442.4,0.0,0.0,0.0,0.0,424.268,440.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.624,311.711,319.823,303.808,239.528,325.783,359.887,313.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,295.749,329.907,309.724,442.404,197.283,442.426,0.0,0.0,0.0,0.0,424.271,440.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.671,311.711,319.844,303.789,239.513,323.839,359.885,315.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
